form_position,item_id,form_version,domain_code,domain_name,subarea_code,format,cognitive_level,scenario_id,scenario_order,scenario_text,exhibit_asset,stem,option_a,option_b,option_c,option_d,correct_option,rationale_correct,rationale_a,rationale_b,rationale_c,rationale_d,source_ref,study_guide_slug,shuffle_options,calculator_needed,status,author,reviewed_by,last_updated
1,D2-01,DIAG-1.0,2,Fundamental Planning Knowledge,2.3 Foundational legal principles,single,recall,,,,,The U.S. Supreme Court's decision in Village of Euclid v. Ambler Realty Co. (1926) is foundational to American planning because it held that:,Comprehensive zoning is a valid exercise of the police power and is not facially unconstitutional,A zoning ordinance that reduces property value is a compensable taking,Municipalities must adopt a comprehensive plan before adopting zoning,Use districts may not be applied to industrial property,A,"Euclid upheld comprehensive use-district zoning against a facial due process and equal protection challenge, grounding zoning in the police power to protect health, safety, and welfare.","Euclid upheld comprehensive use-district zoning against a facial due process and equal protection challenge, grounding zoning in the police power to protect health, safety, and welfare.",Euclid rejected that argument; the ordinance reduced the parcel's value substantially and was still upheld.,"The plan-first requirement comes from state enabling statutes and consistency doctrine, not from Euclid.","Euclid did the opposite, validating the separation of industrial from residential uses.","Village of Euclid v. Ambler Realty Co., 272 U.S. 365 (1926)",planning-law/euclid,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
2,D8-01,DIAG-1.0,8,Areas of Practice,8.5 Transportation mobility and access planning,single,recall,,,,,"In the conventional functional classification of roadways, moving from arterials toward local streets, the design emphasis shifts:",From mobility toward access,From access toward mobility,From capacity toward speed,From public ownership toward private ownership,A,Arterials prioritize through movement with limited access points; collectors balance the two; local streets prioritize direct property access at low speeds.,Arterials prioritize through movement with limited access points; collectors balance the two; local streets prioritize direct property access at low speeds.,This reverses the relationship.,Both capacity and design speed generally decrease toward local streets.,Ownership is not the basis of functional classification.,Functional classification of roadways,transportation/functional-classification,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
3,D4-01,DIAG-1.0,4,Plan and Policy Development,4.2 Planning as sequential steps and multivariate analyses,ordering,application,,,,,"Place the following comprehensive plan tasks in the order they are normally undertaken, from first to last:

I. Draft goals, objectives, and policies
II. Identify issues, opportunities, and stakeholders
III. Prepare and evaluate alternative growth scenarios
IV. Compile and analyze existing conditions data","IV, II, I, III","II, I, IV, III","IV, I, II, III","II, IV, I, III",D,Scoping identifies the issues and the people involved; existing conditions analysis then establishes the factual base; goals and policies follow from both; alternatives are generated and tested against those goals.,Collecting data before scoping produces analysis untethered to the questions the plan must answer.,Goals drafted before the conditions analysis rest on assumption rather than evidence.,This both front-loads data and sets goals before stakeholders are identified.,Scoping identifies the issues and the people involved; existing conditions analysis then establishes the factual base; goals and policies follow from both; alternatives are generated and tested against those goals.,"APA Content Outline 4.1, 4.2",plan-making/process-sequence,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
4,D1-01,DIAG-1.0,1,Research and Assessment Methods,1.1 Conducting research and acquiring knowledge,single,analysis,S-RIVERTON,1,"Riverton (population 48,000) is preparing its first housing needs assessment in 15 years. Staff has three sources available: American Community Survey 5-year estimates; an online survey promoted through the city's social media accounts and e-newsletter, which drew 2,400 responses; and county assessor parcel records. Early survey results show that 71 percent of respondents rank 'protecting neighborhood character' as the top housing priority, while only 9 percent rank 'more rental options' first. Census data show the city is 44 percent renter-occupied.",,What is the most serious methodological problem with using the online survey results to characterize citywide housing priorities?,The sample size is too small to produce a usable margin of error,Online surveys cannot produce ordinal rankings suitable for analysis,"The survey measures opinion rather than behavior, which is never valid planning evidence","Respondents self-selected, so the sample likely over-represents residents already engaged with the city and under-represents renters",D,"A convenience sample recruited through city social media and an e-newsletter is self-selected. Coverage and self-selection bias, not sample size, are what make the 9 percent rental figure implausible in a city that is 44 percent renters.","2,400 responses is a large sample; the problem is who is in it, not how many.",Ranked-preference items are standard and analyzable in online instruments.,Opinion data are legitimate planning evidence when collected from a representative sample.,"A convenience sample recruited through city social media and an e-newsletter is self-selected. Coverage and self-selection bias, not sample size, are what make the 9 percent rental figure implausible in a city that is 44 percent renters.",APA Content Outline 1.1; standard survey methodology (coverage and self-selection bias),research-methods/survey-bias,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
5,D1-02,DIAG-1.0,1,Research and Assessment Methods,1.2 Data and source interpretation and evaluation,single,recall,S-RIVERTON,2,"Riverton (population 48,000) is preparing its first housing needs assessment in 15 years. Staff has three sources available: American Community Survey 5-year estimates; an online survey promoted through the city's social media accounts and e-newsletter, which drew 2,400 responses; and county assessor parcel records. Early survey results show that 71 percent of respondents rank 'protecting neighborhood character' as the top housing priority, while only 9 percent rank 'more rental options' first. Census data show the city is 44 percent renter-occupied.",,Staff used ACS 5-year estimates rather than 1-year estimates. The primary reason is that:,1-year estimates are not published for geographies below a population threshold that Riverton does not meet,5-year estimates are collected from a complete enumeration of households,1-year estimates exclude group quarters population,5-year estimates are released more frequently than 1-year estimates,A,"ACS 1-year estimates are published only for geographies above a population threshold (65,000). Smaller places must rely on the 5-year estimates, which pool sample across a longer period for a smaller margin of error at the cost of currency.","ACS 1-year estimates are published only for geographies above a population threshold (65,000). Smaller places must rely on the 5-year estimates, which pool sample across a longer period for a smaller margin of error at the cost of currency.",No ACS product is a complete enumeration; the ACS is a sample survey. The decennial census is the enumeration.,Group quarters population is included in ACS products.,"Both are released annually; the 5-year product is a rolling average, not a more frequent one.","U.S. Census Bureau, ACS data product guidance",research-methods/census-acs,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
6,D1-03,DIAG-1.0,1,Research and Assessment Methods,1.2 Data and source interpretation and evaluation,calculation,application,S-RIVERTON,3,"Riverton (population 48,000) is preparing its first housing needs assessment in 15 years. Staff has three sources available: American Community Survey 5-year estimates; an online survey promoted through the city's social media accounts and e-newsletter, which drew 2,400 responses; and county assessor parcel records. Early survey results show that 71 percent of respondents rank 'protecting neighborhood character' as the top housing priority, while only 9 percent rank 'more rental options' first. Census data show the city is 44 percent renter-occupied.",,"ACS data for Riverton show a median gross rent of $1,450 per month and a median renter household income of $46,000 per year. Using the conventional federal affordability threshold, the median renter household is:",Not cost burdened,Severely cost burdened,Indeterminate without utility allowance data,"Cost burdened, but not severely cost burdened",D,"$1,450 x 12 = $17,400; $17,400 / $46,000 = 37.8 percent of income. That exceeds the 30 percent cost-burden threshold but falls below the 50 percent severe-burden threshold.",37.8 percent is above the 30 percent threshold.,Severe cost burden begins at 50 percent of household income.,Gross rent already includes an estimate of utility costs.,"$1,450 x 12 = $17,400; $17,400 / $46,000 = 37.8 percent of income. That exceeds the 30 percent cost-burden threshold but falls below the 50 percent severe-burden threshold.",HUD cost burden definitions (30 percent / 50 percent of household income),housing/cost-burden,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
7,D1-04,DIAG-1.0,1,Research and Assessment Methods,1.4 Community involvement to develop understanding of a community,roman,application,S-RIVERTON,4,"Riverton (population 48,000) is preparing its first housing needs assessment in 15 years. Staff has three sources available: American Community Survey 5-year estimates; an online survey promoted through the city's social media accounts and e-newsletter, which drew 2,400 responses; and county assessor parcel records. Early survey results show that 71 percent of respondents rank 'protecting neighborhood character' as the top housing priority, while only 9 percent rank 'more rental options' first. Census data show the city is 44 percent renter-occupied.",,"Before presenting findings, staff want to correct for the survey's limitations. Which steps would meaningfully improve the assessment?

I. Weight or benchmark survey results against ACS tenure and income distributions
II. Conduct targeted intercept surveys and focus groups with renters and residents of subsidized housing
III. Discard the survey entirely and rely on assessor records
IV. Report the survey findings separately and describe the sample rather than presenting them as citywide",I and II only,"I, II, and IV only",II and IV only,"I, II, III, and IV",B,"Benchmarking, supplemental targeted outreach, and transparent characterization of the sample all address the bias without discarding usable information.","Omits the transparency step, which is the minimum ethical obligation when reporting a biased sample.","Benchmarking, supplemental targeted outreach, and transparent characterization of the sample all address the bias without discarding usable information.","Omits benchmarking, the most direct correction available.","III is wrong; a biased sample still has value when its limits are disclosed, and assessor records say nothing about household need.","APA Content Outline 1.4, 1.5; AICP Code Principle A (full, clear, accurate information)",research-methods/triangulation,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
8,D5-01,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,exhibit,application,S-MIDTOWN,1,"The adopted Midtown Plan calls for mixed-use redevelopment along a transit corridor. A developer controls a 3.2-acre site in the MU district and has submitted a concept plan. The MU district standards are summarized in the table below. Assume 1 acre = 43,560 square feet.","| MU district standard | Requirement |
|---|---|
| Maximum floor area ratio | 2.5 |
| Maximum building height | 8 stories |
| Minimum off-street parking | 2 spaces per 1,000 sq ft of gross floor area |
| Maximum lot coverage | 70% |",What is the maximum gross floor area permitted on the site?,"139,392 square feet","243,936 square feet","348,480 square feet","435,600 square feet",C,"3.2 acres x 43,560 = 139,392 square feet of lot area. Maximum floor area = lot area x FAR = 139,392 x 2.5 = 348,480 square feet.","This is the lot area itself, equivalent to an FAR of 1.0.",This applies the 70 percent lot coverage figure rather than the FAR.,"3.2 acres x 43,560 = 139,392 square feet of lot area. Maximum floor area = lot area x FAR = 139,392 x 2.5 = 348,480 square feet.",This uses 4 acres rather than 3.2 acres.,Zoning dimensional standards; FAR computation,zoning/far-calculations,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
9,D5-02,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,calculation,application,S-MIDTOWN,2,"The adopted Midtown Plan calls for mixed-use redevelopment along a transit corridor. A developer controls a 3.2-acre site in the MU district and has submitted a concept plan. The MU district standards are summarized in the table below. Assume 1 acre = 43,560 square feet.",,"If the developer builds to the maximum permitted floor area, approximately how many off-street parking spaces does the ordinance require?",175 spaces,350 spaces,700 spaces,"1,400 spaces",C,"348,480 square feet divided by 1,000 equals 348.5 thousand-square-foot increments; multiplied by 2 spaces gives approximately 697 spaces.","This applies roughly 0.5 spaces per 1,000 square feet.","This applies 1 space per 1,000 square feet.","348,480 square feet divided by 1,000 equals 348.5 thousand-square-foot increments; multiplied by 2 spaces gives approximately 697 spaces.","This applies 4 spaces per 1,000 square feet.",Parking ratio computation,zoning/parking-ratios,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
10,D5-03,DIAG-1.0,5,Plan Implementation,5.5 Identifying and mitigating implementation obstacles,single,analysis,S-MIDTOWN,3,"The adopted Midtown Plan calls for mixed-use redevelopment along a transit corridor. A developer controls a 3.2-acre site in the MU district and has submitted a concept plan. The MU district standards are summarized in the table below. Assume 1 acre = 43,560 square feet.",,Structured parking at this ratio would consume most of the project's feasibility margin and conflicts with the plan's transit objectives. Which regulatory response most directly addresses the conflict while remaining consistent with the adopted plan?,Amend the MU district to establish parking maximums and allow shared parking and transit-proximity reductions,Grant a parking variance for this application,Require the developer to build the full ratio and lease surplus spaces to the public,Rezone the site to a district with no parking requirement,A,"The defect is in the standard, not in this applicant's circumstances. Amending the district standard fixes it for every project in the corridor and implements the adopted plan.","The defect is in the standard, not in this applicant's circumstances. Amending the district standard fixes it for every project in the corridor and implements the adopted plan.",A variance requires a hardship unique to the property; economic difficulty shared by all sites in the district does not qualify.,This preserves the cost that makes the project infeasible.,Spot rezoning to evade a standard invites a legal challenge and leaves the flawed standard in place.,APA Content Outline 5.5; variance standards,zoning/parking-reform,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
